Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2022	830
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2021	849
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2020	793
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2019	640
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2018	653
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2017	692
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2016	668
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2015	682
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2014	784
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2013	808
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2012	781
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2011	651
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2010	685
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2009	750
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2008	823
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2007	709
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2006	727
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2005	697
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2004	696
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2003	741
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2002	671
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2001	657
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2000	701
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1999	697
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1998	666
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1997	707
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1996	678
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1995	624
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1994	659
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1993	559
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1992	539
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1991	568
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1990	586
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1989	648
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1988	632
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1987	617
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1986	618
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1985	545
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1984	573
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1983	451
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1982	412
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1981	395
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	1980	330
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2022	114
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2021	114
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2020	102
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2019	109
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2018	120
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2017	100
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2016	113
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2015	131
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2014	116
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2013	98
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2012	99
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2011	89
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2010	95
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2009	114
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2008	100
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2007	101
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2006	84
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2005	102
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2004	107
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2003	89
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2002	118
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2001	91
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2000	97
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1999	117
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1998	108
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1997	105
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1996	98
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1995	110
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1994	105
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1993	121
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1992	99
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1991	120
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1990	111
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1989	101
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1988	86
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1987	70
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1986	71
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1985	85
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1984	71
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1983	53
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1982	45
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1981	45
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	1980	43
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2022	126
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2021	130
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2020	122
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2019	128
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2018	138
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2017	134
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2016	134
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2015	135
