"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1985","1985",35342,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1986","1986",33059,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1987","1987",31321,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1988","1988",30100,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1989","1989",29634,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1990","1990",27532,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1991","1991",26400,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1992","1992",25050,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1993","1993",24390,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1994","1994",24165,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1995","1995",23639,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1996","1996",23071,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1997","1997",22278,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1998","1998",21100,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","1999","1999",21315,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2000","2000",20891,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2001","2001",20652,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2002","2002",20797,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2003","2003",20401,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2004","2004",20318,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2005","2005",19865,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2006","2006",20228,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2007","2007",18564,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2008","2008",18726,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2009","2009",18796,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2010","2010",18455,"B","Break"
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2011","2011",17724,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2012","2012",16783,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2013","2013",16929,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2014","2014",16586,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2015","2015",16668,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2016","2016",16512,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2017","2017",16796,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2018","2018",16893,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2019","2019",16993,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2020","2020",16352,,
"HOPBLIPS","Psychiatric care beds","NOMBRENB","Number","ESP","Spain","2021","2021",17058,"P","Provisional value"
