Comunidades y Ciudades Autónomas	Tasa de riesgo de pobreza o exclusión social (estrategia Europa 2020) (y sus componentes)	Periodo	Total
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2023	26,9
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2022	26,3
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2021	27,6
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2020	26,4
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2019	25,3
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2018	26,1
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2017	26,6
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2016	27,9
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2015	28,6
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2014	29,2
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2013	27,3
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2012	27,2
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2011	26,7
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2010	26,1
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2009	24,7
Total Nacional	Tasa de riesgo de pobreza o exclusión social (indicador AROPE)	2008	23,8
