Comunidades y Ciudades Autónomas	Renta anual neta media por hogar	Periodo	Total
Total Nacional	Renta neta media por hogar	2023	34.821
Total Nacional	Renta neta media por hogar	2022	32.216
Total Nacional	Renta neta media por hogar	2021	30.552
Total Nacional	Renta neta media por hogar	2020	30.690
Total Nacional	Renta neta media por hogar	2019	29.132
Total Nacional	Renta neta media por hogar	2018	28.417
Total Nacional	Renta neta media por hogar	2017	27.558
Total Nacional	Renta neta media por hogar	2016	26.730
Total Nacional	Renta neta media por hogar	2015	26.092
Total Nacional	Renta neta media por hogar	2014	26.154
Total Nacional	Renta neta media por hogar	2013	26.775
Total Nacional	Renta neta media por hogar	2012	27.747
Total Nacional	Renta neta media por hogar	2011	28.206
Total Nacional	Renta neta media por hogar	2010	29.634
Total Nacional	Renta neta media por hogar	2009	30.045
Total Nacional	Renta neta media por hogar	2008	28.787
