Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2022	9
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2021	14
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2020	7
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2019	4
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2018	4
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2017	6
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2016	8
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2015	7
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2014	4
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2013	6
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2012	4
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2011	1
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2010	3
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2009	7
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2008	2
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2007	7
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2006	2
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2005	4
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2004	11
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2003	2
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2002	7
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2001	7
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	2000	6
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1999	2
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1998	4
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1997	9
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1996	5
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1995	8
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1994	10
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1993	16
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1992	6
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1991	20
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1990	19
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1989	18
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1988	21
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1987	17
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1986	20
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1985	8
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1984	14
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1983	12
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1982	12
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1981	17
098  Suicidio y lesiones autoinfligidas	Hombres	De 1 a 14 años	Nacional	1980	6
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2022	224
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2021	237
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2020	227
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2019	235
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2018	203
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2017	204
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2016	180
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2015	218
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2014	239
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2013	225
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2012	239
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2011	203
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2010	196
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2009	304
098  Suicidio y lesiones autoinfligidas	Hombres	De 15 a 29 años	Nacional	2008	308
