Total Nacional	Comunidades y Ciudades Autónomas	Edades	Sexo	Periodo	Total
Total Nacional	01 Andalucía	Todas las edades	Total	2022	9,710
Total Nacional	01 Andalucía	Todas las edades	Total	2021	10,000
Total Nacional	01 Andalucía	Todas las edades	Total	2020	9,347
Total Nacional	01 Andalucía	Todas las edades	Total	2019	7,575
Total Nacional	01 Andalucía	Todas las edades	Total	2018	7,768
Total Nacional	02 Aragón	Todas las edades	Total	2022	8,541
Total Nacional	02 Aragón	Todas las edades	Total	2021	8,563
Total Nacional	02 Aragón	Todas las edades	Total	2020	7,663
Total Nacional	02 Aragón	Todas las edades	Total	2019	8,231
Total Nacional	02 Aragón	Todas las edades	Total	2018	9,120
Total Nacional	03 Asturias, Principado de	Todas las edades	Total	2022	12,531
Total Nacional	03 Asturias, Principado de	Todas las edades	Total	2021	12,900
Total Nacional	03 Asturias, Principado de	Todas las edades	Total	2020	12,014
Total Nacional	03 Asturias, Principado de	Todas las edades	Total	2019	12,549
Total Nacional	03 Asturias, Principado de	Todas las edades	Total	2018	13,474
Total Nacional	04 Balears, Illes	Todas las edades	Total	2022	9,095
Total Nacional	04 Balears, Illes	Todas las edades	Total	2021	7,533
Total Nacional	04 Balears, Illes	Todas las edades	Total	2020	7,160
Total Nacional	04 Balears, Illes	Todas las edades	Total	2019	8,096
Total Nacional	04 Balears, Illes	Todas las edades	Total	2018	6,039
Total Nacional	05 Canarias	Todas las edades	Total	2022	10,594
Total Nacional	05 Canarias	Todas las edades	Total	2021	10,556
Total Nacional	05 Canarias	Todas las edades	Total	2020	9,267
Total Nacional	05 Canarias	Todas las edades	Total	2019	8,873
Total Nacional	05 Canarias	Todas las edades	Total	2018	8,820
Total Nacional	06 Cantabria	Todas las edades	Total	2022	10,053
Total Nacional	06 Cantabria	Todas las edades	Total	2021	8,212
Total Nacional	06 Cantabria	Todas las edades	Total	2020	7,899
Total Nacional	06 Cantabria	Todas las edades	Total	2019	6,187
Total Nacional	06 Cantabria	Todas las edades	Total	2018	4,820
Total Nacional	07 Castilla y León	Todas las edades	Total	2022	10,170
Total Nacional	07 Castilla y León	Todas las edades	Total	2021	9,925
Total Nacional	07 Castilla y León	Todas las edades	Total	2020	9,534
Total Nacional	07 Castilla y León	Todas las edades	Total	2019	9,073
Total Nacional	07 Castilla y León	Todas las edades	Total	2018	8,837
Total Nacional	08 Castilla - La Mancha	Todas las edades	Total	2022	8,884
Total Nacional	08 Castilla - La Mancha	Todas las edades	Total	2021	8,234
Total Nacional	08 Castilla - La Mancha	Todas las edades	Total	2020	8,810
Total Nacional	08 Castilla - La Mancha	Todas las edades	Total	2019	7,456
Total Nacional	08 Castilla - La Mancha	Todas las edades	Total	2018	6,502
Total Nacional	09 Cataluña	Todas las edades	Total	2022	7,840
Total Nacional	09 Cataluña	Todas las edades	Total	2021	7,432
Total Nacional	09 Cataluña	Todas las edades	Total	2020	7,261
Total Nacional	09 Cataluña	Todas las edades	Total	2019	7,030
Total Nacional	09 Cataluña	Todas las edades	Total	2018	6,945
Total Nacional	10 Comunitat Valenciana	Todas las edades	Total	2022	8,620
Total Nacional	10 Comunitat Valenciana	Todas las edades	Total	2021	7,938
Total Nacional	10 Comunitat Valenciana	Todas las edades	Total	2020	8,735
Total Nacional	10 Comunitat Valenciana	Todas las edades	Total	2019	9,001
Total Nacional	10 Comunitat Valenciana	Todas las edades	Total	2018	8,002
Total Nacional	11 Extremadura	Todas las edades	Total	2022	9,000
Total Nacional	11 Extremadura	Todas las edades	Total	2021	7,651
Total Nacional	11 Extremadura	Todas las edades	Total	2020	8,685
Total Nacional	11 Extremadura	Todas las edades	Total	2019	7,433
Total Nacional	11 Extremadura	Todas las edades	Total	2018	6,560
Total Nacional	12 Galicia	Todas las edades	Total	2022	12,166
Total Nacional	12 Galicia	Todas las edades	Total	2021	12,521
Total Nacional	12 Galicia	Todas las edades	Total	2020	11,302
Total Nacional	12 Galicia	Todas las edades	Total	2019	10,819
Total Nacional	12 Galicia	Todas las edades	Total	2018	10,152
Total Nacional	13 Madrid, Comunidad de	Todas las edades	Total	2022	5,920
Total Nacional	13 Madrid, Comunidad de	Todas las edades	Total	2021	5,183
Total Nacional	13 Madrid, Comunidad de	Todas las edades	Total	2020	5,520
Total Nacional	13 Madrid, Comunidad de	Todas las edades	Total	2019	5,234
Total Nacional	13 Madrid, Comunidad de	Todas las edades	Total	2018	5,192
Total Nacional	14 Murcia, Región de	Todas las edades	Total	2022	8,892
Total Nacional	14 Murcia, Región de	Todas las edades	Total	2021	8,076
Total Nacional	14 Murcia, Región de	Todas las edades	Total	2020	8,084
Total Nacional	14 Murcia, Región de	Todas las edades	Total	2019	8,361
Total Nacional	14 Murcia, Región de	Todas las edades	Total	2018	8,587
Total Nacional	15 Navarra, Comunidad Foral de	Todas las edades	Total	2022	8,529
Total Nacional	15 Navarra, Comunidad Foral de	Todas las edades	Total	2021	9,077
Total Nacional	15 Navarra, Comunidad Foral de	Todas las edades	Total	2020	6,695
Total Nacional	15 Navarra, Comunidad Foral de	Todas las edades	Total	2019	7,049
Total Nacional	15 Navarra, Comunidad Foral de	Todas las edades	Total	2018	6,036
Total Nacional	16 País Vasco	Todas las edades	Total	2022	7,870
Total Nacional	16 País Vasco	Todas las edades	Total	2021	6,665
Total Nacional	16 País Vasco	Todas las edades	Total	2020	8,176
Total Nacional	16 País Vasco	Todas las edades	Total	2019	6,279
Total Nacional	16 País Vasco	Todas las edades	Total	2018	7,504
Total Nacional	17 Rioja, La	Todas las edades	Total	2022	9,347
Total Nacional	17 Rioja, La	Todas las edades	Total	2021	7,511
Total Nacional	17 Rioja, La	Todas las edades	Total	2020	9,174
Total Nacional	17 Rioja, La	Todas las edades	Total	2019	9,223
Total Nacional	17 Rioja, La	Todas las edades	Total	2018	6,716
Total Nacional	18 Ceuta	Todas las edades	Total	2022	2,408
Total Nacional	18 Ceuta	Todas las edades	Total	2021	4,810
Total Nacional	18 Ceuta	Todas las edades	Total	2020	4,764
Total Nacional	18 Ceuta	Todas las edades	Total	2019	4,735
Total Nacional	18 Ceuta	Todas las edades	Total	2018	1,177
Total Nacional	19 Melilla	Todas las edades	Total	2022	1,174
Total Nacional	19 Melilla	Todas las edades	Total	2021	4,656
Total Nacional	19 Melilla	Todas las edades	Total	2020	4,745
Total Nacional	19 Melilla	Todas las edades	Total	2019	1,185
Total Nacional	19 Melilla	Todas las edades	Total	2018	1,182
